timestamp,spot_close,futures_close,price_diff,Funding Rate
2024-03-02 21:00:00,61905.23,61977.7,-72.46999999999389,0.0
2024-03-02 20:00:00,61879.0,61948.7,-69.69999999999709,0.0
2024-03-02 19:00:00,62111.03,62193.8,-82.77000000000407,0.0
2024-03-02 18:00:00,62023.99,62109.8,-85.81000000000495,0.0
2024-03-02 17:00:00,61756.5,61838.0,-81.5,0.0
2024-03-02 16:00:00,61860.0,61931.6,-71.59999999999854,0.00026562
2024-03-02 15:00:00,61778.01,61838.1,-60.08999999999651,0.0
2024-03-02 14:00:00,61842.97,61903.9,-60.93000000000029,0.0
2024-03-02 13:00:00,61799.99,61870.1,-70.11000000000058,0.0
2024-03-02 12:00:00,62075.74,62158.8,-83.06000000000495,0.0
2024-03-02 11:00:00,61821.97,61905.2,-83.22999999999593,0.0
2024-03-02 10:00:00,61900.64,61979.9,-79.26000000000204,0.0
2024-03-02 09:00:00,61840.21,61908.1,-67.88999999999942,0.0
2024-03-02 08:00:00,61946.0,62018.1,-72.09999999999854,0.0001
2024-03-02 07:00:00,62008.01,62079.9,-71.88999999999942,0.0
2024-03-02 06:00:00,61952.87,62015.4,-62.529999999998836,0.0
2024-03-02 05:00:00,62006.0,62062.9,-56.900000000001455,0.0
2024-03-02 04:00:00,62046.01,62084.2,-38.18999999999505,0.0
2024-03-02 03:00:00,62309.0,62367.9,-58.900000000001455,0.0
2024-03-02 02:00:00,62107.53,62151.1,-43.56999999999971,0.0
2024-03-02 01:00:00,62021.2,62064.3,-43.10000000000582,0.0
2024-03-02 00:00:00,62302.98,62358.8,-55.81999999999971,0.0001
2024-03-01 23:00:00,62380.26,62417.6,-37.33999999999651,0.0
2024-03-01 22:00:00,62484.01,62520.9,-36.88999999999942,0.0
2024-03-01 21:00:00,62515.32,62558.0,-42.68000000000029,0.0
2024-03-01 20:00:00,62850.98,62903.9,-52.919999999998254,0.0
2024-03-01 19:00:00,62211.57,62265.0,-53.43000000000029,0.0
2024-03-01 18:00:00,62335.35,62385.2,-49.849999999998545,0.0
2024-03-01 17:00:00,61905.24,61964.0,-58.76000000000204,0.0
2024-03-01 16:00:00,61424.08,61481.4,-57.31999999999971,0.00020416
2024-03-01 15:00:00,61257.59,61331.4,-73.81000000000495,0.0
2024-03-01 14:00:00,61968.79,62013.8,-45.01000000000204,0.0
2024-03-01 13:00:00,62464.72,62510.0,-45.279999999998836,0.0
2024-03-01 12:00:00,62253.11,62292.0,-38.88999999999942,0.0
2024-03-01 11:00:00,61863.21,61923.7,-60.48999999999796,0.0
2024-03-01 10:00:00,61989.23,62052.0,-62.7699999999968,0.0
2024-03-01 09:00:00,62134.89,62210.1,-75.20999999999913,0.0
2024-03-01 08:00:00,61909.4,61968.1,-58.69999999999709,0.00026998
2024-03-01 07:00:00,61436.4,61494.0,-57.599999999998545,0.0
2024-03-01 06:00:00,61564.01,61619.6,-55.58999999999651,0.0
2024-03-01 05:00:00,61309.43,61379.7,-70.2699999999968,0.0
2024-03-01 04:00:00,61531.99,61611.0,-79.01000000000204,0.0
2024-03-01 03:00:00,61097.21,61162.2,-64.98999999999796,0.0
2024-03-01 02:00:00,60975.84,61038.4,-62.56000000000495,0.0
2024-03-01 01:00:00,61212.0,61265.4,-53.400000000001455,0.0
2024-03-01 00:00:00,61505.8,61565.1,-59.299999999995634,0.0001
2024-02-29 23:00:00,61132.0,61184.1,-52.099999999998545,0.0
2024-02-29 22:00:00,61221.28,61270.3,-49.020000000004075,0.0
2024-02-29 21:00:00,61380.35,61433.9,-53.55000000000291,0.0
2024-02-29 20:00:00,61937.12,61994.8,-57.68000000000029,0.0
2024-02-29 19:00:00,61606.24,61687.1,-80.86000000000058,0.0
